Country / territory of asylum/residence,Origin,Year,Value
Australia,Afghanistan,2001,334
Australia,Algeria,2001,3
Australia,Bhutan,2001,2
Australia,Bosnia and Herzegovina,2001,373
Australia,Burundi,2001,4
Australia,Cambodia,2001,7
Australia,China,2001,18
Australia,Colombia,2001,17
Australia,Congo,2001,15
Australia,Croatia,2001,795
Australia,Djibouti,2001,1
Australia,Ecuador,2001,3
Australia,Egypt,2001,56
Australia,Eritrea,2001,171
Australia,Ethiopia,2001,247
Australia,Georgia,2001,3
Australia,Germany,2001,6
Australia,Guinea,2001,1
Australia,India,2001,7
Australia,Iran (Islamic Rep. of),2001,179
Australia,Iraq,2001,623
Australia,Kenya,2001,1
Australia,Kuwait,2001,1
Australia,Lebanon,2001,37
Australia,Liberia,2001,103
Australia,Libya,2001,2
Australia,Morocco,2001,4
Australia,Myanmar,2001,146
Australia,Pakistan,2001,29
Australia,Palestinian,2001,6
Australia,Peru,2001,1
Australia,Russian Federation,2001,6
Australia,Rwanda,2001,1
Australia,Serbia and Kosovo: S/RES/1244 (1999),2001,1427
Australia,Sierra Leone,2001,326
Australia,Slovenia,2001,3
Australia,Somalia,2001,241
Australia,Sri Lanka,2001,60
Australia,Sudan,2001,1242
Australia,Thailand,2001,1
Australia,The former Yugoslav Rep. of Macedonia,2001,4
Australia,Turkey,2001,87
Australia,Uganda,2001,5
Australia,United Arab Emirates,2001,7
Australia,United Rep. of Tanzania,2001,2
Australia,Viet Nam,2001,37
Australia,Yemen,2001,15
Benin,Burundi,2001,18
Benin,Dem. Rep. of the Congo,2001,44
Canada,Afghanistan,2001,3124
Canada,Algeria,2001,8
Canada,Angola,2001,13
Canada,Azerbaijan,2001,14
Canada,Belarus,2001,4
Canada,Bhutan,2001,2
Canada,Bosnia and Herzegovina,2001,530
Canada,Burkina Faso,2001,2
Canada,Burundi,2001,243
Canada,Cambodia,2001,2
Canada,Cameroon,2001,11
Canada,Chad,2001,2
Canada,Chile,2001,2
Canada,China,2001,13
Canada,Colombia,2001,820
Canada,Croatia,2001,187
Canada,Cuba,2001,3
Canada,Dem. Rep. of the Congo,2001,428
Canada,Egypt,2001,251
Canada,El Salvador,2001,36
Canada,Eritrea,2001,117
Canada,Ethiopia,2001,475
Canada,France,2001,1
Canada,Georgia,2001,17
Canada,Greece,2001,1
Canada,Guatemala,2001,47
Canada,Guinea-Bissau,2001,1
Canada,Honduras,2001,12
Canada,India,2001,27
Canada,Iran (Islamic Rep. of),2001,895
Canada,Iraq,2001,1131
Canada,Jordan,2001,1
Canada,Kazakhstan,2001,1
Canada,Kenya,2001,3
Canada,Kyrgyzstan,2001,1
Canada,Lebanon,2001,6
Canada,Liberia,2001,32
Canada,Madagascar,2001,2
Canada,Mexico,2001,1
Canada,Myanmar,2001,34
Canada,Pakistan,2001,93
Canada,Russian Federation,2001,52
Canada,Rwanda,2001,72
Canada,Saudi Arabia,2001,1
Canada,Serbia and Kosovo: S/RES/1244 (1999),2001,1538
Canada,Sierra Leone,2001,317
Canada,Somalia,2001,142
Canada,Sri Lanka,2001,24
Canada,Stateless,2001,820
Canada,Sudan,2001,554
Canada,Syrian Arab Rep.,2001,22
Canada,Tajikistan,2001,4
Canada,Thailand,2001,4
Canada,The former Yugoslav Rep. of Macedonia,2001,2
Canada,Togo,2001,31
Canada,Turkey,2001,10
Canada,Uganda,2001,1
Canada,Ukraine,2001,9
Canada,United Kingdom of Great Britain and Northern Ireland,2001,1
Canada,United States of America,2001,2
Canada,Uzbekistan,2001,10
Canada,Various/unknown,2001,31
Canada,Venezuela (Bolivarian Republic of),2001,3
Canada,Viet Nam,2001,1
Canada,Zambia,2001,1
Denmark,Afghanistan,2001,284
Denmark,Chad,2001,3
Denmark,Djibouti,2001,1
