country,latitude,longitude,,,,
Afghanistan,33.93911,67.709953,,,,
Albania,41.153332,20.168331,,,,
Algeria,28.033886,1.659626,,,,
Angola,-14.270972,-170.132217,,,,
Anguilla,-11.202692,17.873887,,,,
Antigua and Barbuda,18.220554,-63.068615,,,,
Argentina,17.060816,-61.796428,,,,
Armenia,-38.416097,-63.616672,,,,
Aruba,40.069099,45.038189,,,,
Australia,12.52111,-69.968338,,,,
Austria,-25.274398,133.775136,,,,
Azerbaijan,47.516231,14.550072,,,,
Bahamas,40.143105,47.576927,,,,
Bahrain,25.03428,-77.39628,,,,
Bangladesh,25.930414,50.637772,,,,
Barbados,23.684994,90.356331,,,,
Belarus,13.193887,-59.543198,,,,
Belgium,53.709807,27.953389,,,,
Belize,50.503887,4.469936,,,,
Benin,17.189877,-88.49765,,,,
Bolivia (Plurinational State of),9.30769,2.315834,,,,
Bonaire,12.2019,68.2624,,,,
Bosnia and Herzegovina,-16.290154,-63.588653,,,,
Botswana,43.915886,17.679076,,,,
Brazil,-22.328474,24.684866,,,,
British Virgin Islands,-14.235004,-51.92528,,,,
Bulgaria,4.535277,114.727669,,,,
Burkina Faso,42.733883,25.48583,,,,
Burundi,12.238333,-1.561593,,,,
Côte d'Ivoire,-3.373056,29.918886,,,,
Cambodia,7.539989,-5.54708,,,,
Cameroon,12.565679,104.990963,,,,
Canada,7.369722,12.354722,,,,
Cayman Islands,56.130366,-106.346771,,,,
Central African Rep.,19.513469,-80.566956,,,,
Chad,6.611111,20.939444,,,,
Chile,15.454166,18.732207,,,,
China,-35.675147,-71.542969,,,,
"China, Hong Kong SAR",35.86166,104.195397,,,,
"China, Macao SAR",4.570868,-74.297333,,,,
Colombia,-0.228021,15.827659,,,,
Congo,-0.228021,15.827659,,,,
Costa Rica,45.1,15.2,,,,
Croatia,21.521757,-77.781167,,,,
Cuba,35.126413,33.429859,,,,
Cyprus,49.817492,15.472962,,,,
Czech Rep.,56.26392,9.501785,,,,
Dem. Rep. of the Congo,-4.038333,21.758664,,,,
Denmark,11.825138,42.590275,,,,
Djibouti,15.414999,-61.370976,,,,
Dominica,-1.831239,-78.183406,,,,
Ecuador,26.820553,30.802498,,,,
Egypt,13.794185,-88.89653,,,,
El Salvador,1.650801,10.267895,,,,
Eritrea,15.179384,39.782334,,,,
Estonia,58.595272,25.013607,,,,
Ethiopia,9.145,40.489673,,,,
Faroe Islands,61.892635,-6.911806,,,,
Fiji,-16.578193,179.414413,,,,
Finland,61.92411,25.748151,,,,
France,46.227638,2.213749,,,,
Gabon,-0.803689,11.609444,,,,
Gambia,13.443182,-15.310139,,,,
Georgia,42.315407,43.356892,,,,
Georgia,51.165691,10.451526,,,,
Germany,7.946527,-1.023194,,,,
Ghana,39.074208,21.824312,,,,
Greece,15.783471,-90.230759,,,,
Guatemala,9.945587,-9.696645,,,,
